dataset,miss_rate,method,init,sparsity,n_nearest_features,rmse_0,rmse_1,rmse_2,rmse_3,rmse_4,rmse_5,rmse_6,rmse_7,rmse_8,rmse_9,rmse_mean,rmse_sd,flops,successes,failures,success_rate,failure_rate
health,0.2,GAIN,ER,0.9,,0.2069,0.207,0.2075,0.2081,0.2093,0.2096,0.2098,0.2104,0.2108,0.2112,0.2091,0.0015021,60,10,8,0.5556,0.4444
health,0.2,GAIN,ER,0.95,,0.217,0.2171,0.2173,0.2174,0.2174,0.2175,0.2176,0.2179,0.2179,0.2248,0.2182,0.0022210,42,10,14,0.4167,0.5833
health,0.2,GAIN,ER,0.99,,0.2293,0.2294,0.2294,0.2294,0.2294,0.2294,0.2294,0.2294,0.2294,0.2295,0.2294,0.0000447,32,10,12,0.4545,0.5455
health,0.2,GAIN,ERRW,0.6,,0.2141,0.2141,0.2157,0.2177,0.219,0.2193,0.2272,0.2319,0.2323,0.2342,0.2225,0.0075911,158,10,16,0.3846,0.6154
health,0.2,GAIN,ERRW,0.8,,0.205,0.208,0.212,0.2124,0.2132,0.218,0.221,0.221,0.2292,0.2555,0.2195,0.0137320,108,10,11,0.4762,0.5238
health,0.2,GAIN,ERRW,0.9,,0.2076,0.2238,0.2294,0.2294,0.2294,0.2294,0.2294,0.2294,0.2294,0.2718,0.2309,0.0151058,60,10,22,0.3125,0.6875
health,0.2,GAIN,ERRW,0.95,,0.2029,0.2171,0.2178,0.2179,0.2183,0.2184,0.2293,0.2294,0.2294,0.2294,0.2210,0.0081073,42,10,15,0.4000,0.6000
health,0.2,GAIN,ERRW,0.99,,0.2293,0.2294,0.2294,0.2294,0.2294,0.2294,0.2294,0.2294,0.2294,0.2294,0.2294,0.0000300,32,10,24,0.2941,0.7059
health,0.2,GAIN,Random,0.6,,0.2006,0.2039,0.2053,0.212,0.2145,0.2167,0.2178,0.2224,0.2246,0.2278,0.2146,0.0086802,146,10,24,0.2941,0.7059
health,0.2,GAIN,Random,0.8,,0.1978,0.2036,0.2124,0.2141,0.2146,0.2166,0.218,0.2227,0.2299,0.2305,0.2160,0.0097787,88,10,10,0.5000,0.5000
health,0.2,GAIN,Random,0.9,,0.2066,0.212,0.2138,0.2214,0.2241,0.2294,0.2298,0.2316,0.2327,0.2369,0.2238,0.0095914,59,10,9,0.5263,0.4737
health,0.2,GAIN,Random,0.95,,0.2083,0.2156,0.2194,0.2239,0.2299,0.231,0.2316,0.2318,0.2322,0.2395,0.2263,0.0089123,45,10,14,0.4167,0.5833
health,0.2,GAIN,Random,0.99,,0.2249,0.2253,0.2279,0.2282,0.2299,0.2308,0.2325,0.2336,0.2343,0.2395,0.2307,0.0042378,33,10,19,0.3448,0.6552
health,0.2,IterativeImputer,,0.0,,0.1851,0.1862,0.1865,0.1881,0.1884,0.1885,0.1902,0.1915,0.1932,0.1945,0.1892,0.0029294,,10,0,1.0000,0.0000
health,0.2,IterativeImputerRF,,0.0,,0.1381,0.1401,0.1406,0.1411,0.1419,0.144,0.1447,0.1449,0.1475,0.1506,0.1434,0.0035677,,10,0,1.0000,0.0000
letter,0.2,GAIN,Dense,0.0,,0.1255,0.1265,0.1273,0.1279,0.1282,0.13,0.1304,0.1308,0.1367,0.1385,0.1302,0.0040627,2128,10,4,0.7143,0.2857
letter,0.2,GAIN,ER,0.6,,,,,,,,,,,,,,,0,20,0.0000,1.0000
letter,0.2,GAIN,ER,0.8,,,,,,,,,,,,,,,0,20,0.0000,1.0000
letter,0.2,GAIN,ER,0.9,,0.1289,0.1289,0.1292,0.1294,0.1351,0.1352,0.1352,0.1354,0.1354,0.1365,0.1329,0.0031435,298,10,1,0.9091,0.0909
letter,0.2,GAIN,ER,0.95,,0.1287,0.1292,0.1295,0.1295,0.1302,0.1305,0.1336,0.1339,0.135,0.136,0.1316,0.0025762,200,10,0,1.0000,0.0000
letter,0.2,GAIN,ER,0.99,,0.1554,0.1554,0.1554,0.1554,0.1554,0.1554,0.1554,0.1554,0.1554,0.1554,0.1554,0.0000000,94,10,1,0.9091,0.0909
letter,0.2,GAIN,ERRW,0.6,,0.129,0.1311,0.1323,0.134,0.1345,0.1346,0.1347,0.138,0.1394,0.1398,0.1347,0.0033275,918,10,0,1.0000,0.0000
letter,0.2,GAIN,ERRW,0.8,,0.1249,0.1298,0.1317,0.1322,0.1333,0.1353,0.1354,0.1368,0.1395,0.1401,0.1339,0.0043396,508,10,4,0.7143,0.2857
letter,0.2,GAIN,ERRW,0.9,,0.1236,0.1246,0.1248,0.1249,0.1255,0.1256,0.1263,0.1317,0.1328,0.133,0.1273,0.0034959,298,10,3,0.7692,0.2308
letter,0.2,GAIN,ERRW,0.95,,0.1246,0.1253,0.1253,0.1274,0.1283,0.1286,0.1297,0.1304,0.1305,0.1359,0.1286,0.0031727,200,10,9,0.5263,0.4737
letter,0.2,GAIN,ERRW,0.99,,0.1554,0.1554,0.1554,0.1554,0.1554,0.1554,0.1554,0.1554,0.1554,0.1554,0.1554,0.0000000,94,10,0,1.0000,0.0000
letter,0.2,GAIN,Random,0.6,,0.1324,0.1331,0.1351,0.1361,0.1362,0.1368,0.1375,0.1387,0.1402,0.1498,0.1376,0.0046391,900,10,4,0.7143,0.2857
